Country/Territory,Continent,1990 Population,2000 Population,2010 Population,2022 Population,Growth_1990_2000_%,Growth_2000_2010_%,Growth_2010_2022_%
Malta,Europe,365392,399212,418755,533286,9.26,4.9,27.35
Marshall Islands,Oceania,46047,54224,53416,41569,17.76,-1.49,-22.18
Martinique,North America,374271,432543,392181,367507,15.57,-9.33,-6.29
Mauritania,Africa,2006027,2695003,3419461,4736139,34.35,26.88,38.51
Mauritius,Africa,1090290,1215930,1283330,1299469,11.52,5.54,1.26
Mayotte,Africa,92659,159215,211786,326101,71.83,33.02,53.98
Mexico,North America,81720428,97873442,112532401,127504125,19.77,14.98,13.3
Micronesia,Oceania,98603,111709,107588,114164,13.29,-3.69,6.11
Moldova,Europe,4480199,4251573,3678186,3272996,-5.1,-13.49,-11.02
Monaco,Europe,30329,32465,33178,36469,7.04,2.2,9.92
Mongolia,Asia,2161433,2450979,2702520,3398366,13.4,10.26,25.75
Montenegro,Europe,621442,633324,631044,627082,1.91,-0.36,-0.63
Montserrat,North America,10805,5138,4938,4390,-52.45,-3.89,-11.1
Morocco,Africa,24570814,28554415,32464865,37457971,16.21,13.69,15.38
Mozambique,Africa,13303459,17768505,23073723,32969517,33.56,29.86,42.89
Myanmar,Asia,40099553,45538332,49390988,54179306,13.56,8.46,9.69
Namibia,Africa,1369011,1819141,2099271,2567012,32.88,15.4,22.28
Nauru,Oceania,9598,10377,10241,12668,8.12,-1.31,23.7
Nepal,Asia,19616530,24559500,27161567,30547580,25.2,10.59,12.47
Netherlands,Europe,14944548,15899135,16617116,17564014,6.39,4.52,5.7
New Caledonia,Oceania,177264,221537,261426,289950,24.98,18.01,10.91
New Zealand,Oceania,3397389,3855266,4346338,5185288,13.48,12.74,19.3
Nicaragua,North America,4227820,5123222,5855734,6948392,21.18,14.3,18.66
Niger,Africa,8370647,11622665,16647543,26207977,38.85,43.23,57.43
Nigeria,Africa,95214257,122851984,160952853,218541212,29.03,31.01,35.78
Niue,Oceania,2533,2074,1812,1934,-18.12,-12.63,6.73
North Korea,Asia,20799523,23367059,24686435,26069416,12.34,5.65,5.6
North Macedonia,Europe,2044174,2037936,2093828,2093599,-0.31,2.74,-0.01
Northern Mariana Islands,Oceania,48002,80338,54087,49551,67.36,-32.68,-8.39
Norway,Europe,4241636,4491202,4889741,5434319,5.88,8.87,11.14
Oman,Asia,1804524,2344253,2881914,4576298,29.91,22.94,58.79
Pakistan,Asia,115414069,154369924,194454498,235824862,33.75,25.97,21.28
Palau,Oceania,15293,19726,18540,18055,28.99,-6.01,-2.62
Palestine,Asia,2124609,3139954,3992278,5250072,47.79,27.14,31.51
Panama,North America,2449968,3001731,3623617,4408581,22.52,20.72,21.66
Papua New Guinea,Oceania,3864972,5508297,7583269,10142619,42.52,37.67,33.75
Paraguay,South America,4059195,5123819,5768613,6780744,26.23,12.58,17.55
Peru,South America,22109099,26654439,29229572,34049588,20.56,9.66,16.49
Philippines,Asia,61558898,77958223,94636700,115559009,26.64,21.39,22.11
Poland,Europe,38064255,38504431,38597353,39857145,1.16,0.24,3.26
Portugal,Europe,10007346,10300626,10588401,10270865,2.93,2.79,-3.0
Puerto Rico,North America,3543776,3827108,3717922,3252407,8.0,-2.85,-12.52
Qatar,Asia,441675,645937,1713504,2695122,46.25,165.27,57.29
Republic of the Congo,Africa,2385435,3134030,4437884,5970424,31.38,41.6,34.53
Reunion,Africa,658992,785424,890130,974052,19.19,13.33,9.43
Romania,Europe,22836234,21919876,20335211,19659267,-4.01,-7.23,-3.32
Russia,Europe,148005704,146844839,143242599,144713314,-0.78,-2.45,1.03
Rwanda,Africa,7319962,8109989,10309031,13776698,10.79,27.12,33.64
Saint Barthelemy,North America,5168,7082,8988,10967,37.04,26.91,22.02
Saint Kitts and Nevis,North America,40636,45461,47403,47657,11.87,4.27,0.54
Saint Lucia,North America,142301,159500,170935,179857,12.09,7.17,5.22
Saint Martin,North America,28127,29610,36458,31791,5.27,23.13,-12.8
Saint Pierre and Miquelon,North America,6324,6274,6052,5862,-0.79,-3.54,-3.14
Saint Vincent and the Grenadines,North America,112487,113813,109308,103948,1.18,-3.96,-4.9
Samoa,Oceania,168186,184008,194672,222382,9.41,5.8,14.23
San Marino,Europe,23132,26823,31608,33660,15.96,17.84,6.49
Sao Tome and Principe,Africa,120343,143714,182138,227380,19.42,26.74,24.84
Saudi Arabia,Asia,16004763,21547390,29411929,36408820,34.63,36.5,23.79
Senegal,Africa,7536001,9704287,12530121,17316449,28.77,29.12,38.2
Serbia,Europe,7987529,7935022,7653748,7221365,-0.66,-3.54,-5.65
Seychelles,Africa,71057,80060,92409,107118,12.67,15.42,15.92
Sierra Leone,Africa,4325388,4584067,6436698,8605718,5.98,40.41,33.7
Singapore,Asia,3022209,4053602,5163590,5975689,34.13,27.38,15.73
Sint Maarten,North America,27845,30489,33034,44175,9.5,8.35,33.73
Slovakia,Europe,5261305,5376690,5396424,5643453,2.19,0.37,4.58
Slovenia,Europe,1986024,1984339,2057286,2119844,-0.08,3.68,3.04
Solomon Islands,Oceania,324171,429978,540394,724273,32.64,25.68,34.03
Somalia,Africa,6999096,8721465,12026649,17597511,24.61,37.9,46.32
South Africa,Africa,39877570,46813266,51784921,59893885,17.39,10.62,15.66
South Korea,Asia,44120039,46788591,48813042,51815810,6.05,4.33,6.15
South Sudan,Africa,4750817,6114440,9714419,10913164,28.7,58.88,12.34
Spain,Europe,38889889,40741651,46572772,47558630,4.76,14.31,2.12
Sri Lanka,Asia,17204094,18776371,20668557,21832143,9.14,10.08,5.63
Sudan,Africa,21090886,26298773,33739933,46874204,24.69,28.29,38.93
Suriname,South America,412756,478998,546080,618040,16.05,14.0,13.18
Sweden,Europe,8548406,8871043,9381729,10549347,3.77,5.76,12.45
Switzerland,Europe,6711693,7182059,7822435,8740472,7.01,8.92,11.74
Syria,Asia,12408996,16307654,22337563,22125249,31.42,36.98,-0.95
Taiwan,Asia,20586174,22194731,23083083,23893394,7.81,4.0,3.51
Tajikistan,Asia,5417860,6272998,7621779,9952787,15.78,21.5,30.58
Tanzania,Africa,26206012,34463704,45110527,65497748,31.51,30.89,45.19
Thailand,Asia,55228410,63066603,68270489,71697030,14.19,8.25,5.02
Timor-Leste,Asia,758106,878360,1088486,1341296,15.86,23.92,23.23
Togo,Africa,3875947,5008035,6571855,8848699,29.21,31.23,34.65
Tokelau,Oceania,1669,1666,1367,1871,-0.18,-17.95,36.87
Tonga,Oceania,98727,102603,107383,106858,3.93,4.66,-0.49
Trinidad and Tobago,North America,1266518,1332203,1410296,1531044,5.19,5.86,8.56
Tunisia,Africa,8440023,9893316,10895063,12356117,17.22,10.13,13.41
Turkey,Asia,54324142,64113547,73195345,85341241,18.02,14.17,16.59
Turkmenistan,Asia,3720278,4569132,5267970,6430770,22.82,15.29,22.07
Turks and Caicos Islands,North America,11709,18744,29726,45703,60.08,58.59,53.75
Tuvalu,Oceania,9182,9638,10550,11312,4.97,9.46,7.22
Uganda,Africa,17586630,24020697,32341728,47249585,36.58,34.64,46.09
Ukraine,Europe,51589817,48879755,45683020,39701739,-5.25,-6.54,-13.09
United Arab Emirates,Asia,1900151,3275333,8481771,9441129,72.37,158.96,11.31
United Kingdom,Europe,57210442,58850043,62760039,67508936,2.87,6.64,7.57
United States,North America,248083732,282398554,311182845,338289857,13.83,10.19,8.71
United States Virgin Islands,North America,100685,108185,106142,99465,7.45,-1.89,-6.29
Uruguay,South America,3117012,3292224,3352651,3422794,5.62,1.84,2.09
Uzbekistan,Asia,20579100,24925554,28614227,34627652,21.12,14.8,21.02
Vanuatu,Oceania,150882,192074,245453,326740,27.3,27.79,33.12
Vatican City,Europe,700,651,596,510,-7.0,-8.45,-14.43
Venezuela,South America,19750579,24427729,28715022,28301696,23.68,17.55,-1.44
Vietnam,Asia,66912613,79001142,87411012,98186856,18.07,10.65,12.33
Wallis and Futuna,Oceania,13454,14723,13142,11572,9.43,-10.74,-11.95
Western Sahara,Africa,178529,270375,413296,575986,51.45,52.86,39.36
Yemen,Asia,13375121,18628700,24743946,33696614,39.28,32.83,36.18
Zambia,Africa,7686401,9891136,13792086,20017675,28.68,39.44,45.14
Zimbabwe,Africa,10113893,11834676,12839771,16320537,17.01,8.49,27.11
